,Name,No of reviews,Price,Rating out of 5
165,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
166,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
167,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
168,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
169,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
170,"Bosch TrueMixx Bold Mixer Grinder (Black) - 600 Watts, 3 Jars - MGM4334BIN",189,4090.0,4.3
171,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
172,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
173,Croma 750 Watt 3 Jars Mixer Grinder with Copper Motor CRAK4183 (Green),28,1990.0,3.3
174,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
175,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
176,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
178,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
179,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3025,3497.0,4
180,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
181,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,9017,6750.0,4.4
182,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
183,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
186,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
187,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
188,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
189,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
190,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
191,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
193,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
196,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
197,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
198,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
200,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
202,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
205,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
208,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
209,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
213,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
216,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
218,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
219,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
